Orthogroup	KC244182.1	MW139932.1
OG0000091	KC244182.1_00097	MW139932.1_00098
OG0000092	KC244182.1_00101	MW139932.1_00102
OG0000093	KC244182.1_00105	MW139932.1_00106
OG0000094	KC244182.1_00108	MW139932.1_00109
OG0000095	KC244182.1_00109	MW139932.1_00110
OG0000097	KC244182.1_00003	MW139932.1_00003
OG0000098	KC244182.1_00004	MW139932.1_00004
OG0000099	KC244182.1_00038	MW139932.1_00042
OG0000100	KC244182.1_00042	MW139932.1_00046
OG0000101	KC244182.1_00070	MW139932.1_00072
OG0000102	KC244182.1_00079	MW139932.1_00080
OG0000103	KC244182.1_00102	MW139932.1_00103
OG0000104	KC244182.1_00106	MW139932.1_00107
OG0000105	KC244182.1_00117	MW139932.1_00118
OG0000106	KC244182.1_00027	MW139932.1_00031
OG0000107	KC244182.1_00103	MW139932.1_00104
OG0000108	KC244182.1_00120	MW139932.1_00122
OG0000109	KC244182.1_00071	MW139932.1_00073
OG0000110	KC244182.1_00119	MW139932.1_00120
OG0000111	KC244182.1_00093	MW139932.1_00094
OG0000112	KC244182.1_00080	MW139932.1_00081
OG0000114	KC244182.1_00021	MW139932.1_00022
OG0000118	KC244182.1_00092	MW139932.1_00093
OG0000120	KC244182.1_00104	MW139932.1_00105
OG0000121	KC244182.1_00113	MW139932.1_00114
OG0000143	KC244182.1_00020	MW139932.1_00021
