Orthogroup	OQ475017.1	OL774655.1
OG0000100	OQ475017.1_00043	OL774655.1_00047
OG0000101	OQ475017.1_00068	OL774655.1_00073
OG0000103	OQ475017.1_00100	OL774655.1_00103
OG0000104	OQ475017.1_00104	OL774655.1_00107
OG0000105	OQ475017.1_00115	OL774655.1_00118
OG0000107	OQ475017.1_00101	OL774655.1_00104
OG0000108	OQ475017.1_00119	OL774655.1_00122
OG0000109	OQ475017.1_00069	OL774655.1_00074
OG0000110	OQ475017.1_00117	OL774655.1_00120
OG0000111	OQ475017.1_00091	OL774655.1_00094
OG0000112	OQ475017.1_00077	OL774655.1_00081
OG0000113	OQ475017.1_00021	OL774655.1_00021
OG0000114	OQ475017.1_00011	OL774655.1_00011
OG0000118	OQ475017.1_00102	OL774655.1_00105
OG0000119	OQ475017.1_00111	OL774655.1_00114
OG0000123	OQ475017.1_00026	OL774655.1_00028
OG0000124	OQ475017.1_00028	OL774655.1_00031
OG0000165	OQ475017.1_00025	OL774655.1_00026
