Orthogroup	MCV_Unclassified_OQ475017.1	MCV_MP1_LYCI_AY779031.1
OG0000068	MCV_Unclassified_OQ475017.1_00042	MCV_MP1_LYCI_AY779031.1_00047, MCV_MP1_LYCI_AY779031.1_00046
OG0000069	MCV_Unclassified_OQ475017.1_00046	MCV_MP1_LYCI_AY779031.1_00051
OG0000070	MCV_Unclassified_OQ475017.1_00098	MCV_MP1_LYCI_AY779031.1_00110, MCV_MP1_LYCI_AY779031.1_00111
OG0000071	MCV_Unclassified_OQ475017.1_00113	MCV_MP1_LYCI_AY779031.1_00124
OG0000073	MCV_Unclassified_OQ475017.1_00009	MCV_MP1_LYCI_AY779031.1_00009
OG0000074	MCV_Unclassified_OQ475017.1_00012	MCV_MP1_LYCI_AY779031.1_00012
OG0000075	MCV_Unclassified_OQ475017.1_00016	MCV_MP1_LYCI_AY779031.1_00017
OG0000076	MCV_Unclassified_OQ475017.1_00034	MCV_MP1_LYCI_AY779031.1_00038
OG0000077	MCV_Unclassified_OQ475017.1_00037	MCV_MP1_LYCI_AY779031.1_00041
OG0000078	MCV_Unclassified_OQ475017.1_00040	MCV_MP1_LYCI_AY779031.1_00044
OG0000079	MCV_Unclassified_OQ475017.1_00041	MCV_MP1_LYCI_AY779031.1_00045
OG0000080	MCV_Unclassified_OQ475017.1_00045	MCV_MP1_LYCI_AY779031.1_00050
OG0000081	MCV_Unclassified_OQ475017.1_00050	MCV_MP1_LYCI_AY779031.1_00055
OG0000082	MCV_Unclassified_OQ475017.1_00051	MCV_MP1_LYCI_AY779031.1_00056
OG0000083	MCV_Unclassified_OQ475017.1_00052	MCV_MP1_LYCI_AY779031.1_00057
OG0000084	MCV_Unclassified_OQ475017.1_00061	MCV_MP1_LYCI_AY779031.1_00067
OG0000085	MCV_Unclassified_OQ475017.1_00064	MCV_MP1_LYCI_AY779031.1_00070
OG0000086	MCV_Unclassified_OQ475017.1_00066	MCV_MP1_LYCI_AY779031.1_00073
OG0000087	MCV_Unclassified_OQ475017.1_00067	MCV_MP1_LYCI_AY779031.1_00076
OG0000088	MCV_Unclassified_OQ475017.1_00071	MCV_MP1_LYCI_AY779031.1_00081
OG0000089	MCV_Unclassified_OQ475017.1_00072	MCV_MP1_LYCI_AY779031.1_00082
OG0000090	MCV_Unclassified_OQ475017.1_00081	MCV_MP1_LYCI_AY779031.1_00092
OG0000091	MCV_Unclassified_OQ475017.1_00082	MCV_MP1_LYCI_AY779031.1_00093
OG0000092	MCV_Unclassified_OQ475017.1_00095	MCV_MP1_LYCI_AY779031.1_00105
OG0000093	MCV_Unclassified_OQ475017.1_00099	MCV_MP1_LYCI_AY779031.1_00112
OG0000094	MCV_Unclassified_OQ475017.1_00103	MCV_MP1_LYCI_AY779031.1_00114
OG0000095	MCV_Unclassified_OQ475017.1_00106	MCV_MP1_LYCI_AY779031.1_00117
OG0000096	MCV_Unclassified_OQ475017.1_00107	MCV_MP1_LYCI_AY779031.1_00118
OG0000097	MCV_Unclassified_OQ475017.1_00003	MCV_MP1_LYCI_AY779031.1_00003
OG0000098	MCV_Unclassified_OQ475017.1_00004	MCV_MP1_LYCI_AY779031.1_00004
OG0000099	MCV_Unclassified_OQ475017.1_00039	MCV_MP1_LYCI_AY779031.1_00043
OG0000100	MCV_Unclassified_OQ475017.1_00043	MCV_MP1_LYCI_AY779031.1_00048
OG0000101	MCV_Unclassified_OQ475017.1_00068	MCV_MP1_LYCI_AY779031.1_00077
OG0000102	MCV_Unclassified_OQ475017.1_00076	MCV_MP1_LYCI_AY779031.1_00087
OG0000104	MCV_Unclassified_OQ475017.1_00104	MCV_MP1_LYCI_AY779031.1_00115
OG0000105	MCV_Unclassified_OQ475017.1_00115	MCV_MP1_LYCI_AY779031.1_00126
OG0000109	MCV_Unclassified_OQ475017.1_00069	MCV_MP1_LYCI_AY779031.1_00079
OG0000110	MCV_Unclassified_OQ475017.1_00091	MCV_MP1_LYCI_AY779031.1_00101
OG0000111	MCV_Unclassified_OQ475017.1_00117	MCV_MP1_LYCI_AY779031.1_00128
OG0000112	MCV_Unclassified_OQ475017.1_00077	MCV_MP1_LYCI_AY779031.1_00088
OG0000114	MCV_Unclassified_OQ475017.1_00021	MCV_MP1_LYCI_AY779031.1_00022
OG0000116	MCV_Unclassified_OQ475017.1_00011	MCV_MP1_LYCI_AY779031.1_00011
OG0000120	MCV_Unclassified_OQ475017.1_00102	MCV_MP1_LYCI_AY779031.1_00113
OG0000124	MCV_Unclassified_OQ475017.1_00026	MCV_MP1_LYCI_AY779031.1_00028
