locus_tag	ftype	length_bp	gene	EC_number	COG	product
HF920633_00108	CDS	543				hypothetical protein
HF920633_00109	CDS	264				hypothetical protein
HF920633_00110	CDS	1695				hypothetical protein
HF920633_00111	CDS	498				hypothetical protein
HF920633_00112	CDS	141				hypothetical protein
HF920633_00113	CDS	432				hypothetical protein
HF920633_00114	CDS	399				hypothetical protein
HF920633_00115	CDS	765				hypothetical protein
HF920633_00116	CDS	207				hypothetical protein
HF920633_00117	CDS	1458				hypothetical protein
HF920633_00118	CDS	2910				hypothetical protein
HF920633_00119	CDS	1356				hypothetical protein
HF920633_00120	CDS	738				hypothetical protein
HF920633_00121	CDS	1536				hypothetical protein
HF920633_00122	CDS	1335				hypothetical protein
HF920633_00123	CDS	390				hypothetical protein
HF920633_00124	CDS	153				hypothetical protein
HF920633_00125	CDS	357				hypothetical protein
HF920633_00126	CDS	627				hypothetical protein
HF920633_00127	CDS	1653				hypothetical protein
HF920633_00128	CDS	192				hypothetical protein
HF920633_00129	CDS	663				hypothetical protein
HF920633_00130	CDS	5268				hypothetical protein
HF920633_00131	CDS	2097				hypothetical protein
HF920633_00132	CDS	2340				hypothetical protein
HF920633_00133	CDS	486				hypothetical protein
HF920633_00134	CDS	480				hypothetical protein
HF920633_00135	CDS	1173				hypothetical protein
HF920633_00136	CDS	669		3.1.3.-		mRNA-decapping protein D10
HF920633_00137	CDS	1377				hypothetical protein
HF920633_00138	CDS	759				hypothetical protein
HF920633_00139	CDS	537				hypothetical protein
HF920633_00140	CDS	384				hypothetical protein
HF920633_00141	CDS	960				hypothetical protein
HF920633_00142	CDS	285				hypothetical protein
HF920633_00143	CDS	1248				hypothetical protein
HF920633_00144	CDS	1278				hypothetical protein
HF920633_00145	CDS	705				hypothetical protein
HF920633_00146	CDS	990				hypothetical protein
HF920633_00147	CDS	2496				hypothetical protein
HF920633_00148	CDS	180				hypothetical protein
HF920633_00149	CDS	3393	TOP	5.6.2.2		DNA topoisomerase 2
HF920633_00150	CDS	642				hypothetical protein
